,theme,num_mentions,rank
123,BLACK,787326,125
124,MISSINGFOUNDTRAPPEDPEOPLE,785740,126
125,CHINESE,783952,127
126,PEACEKEEPING,781621,128
127,STUDENTS,778056,129
128,HEALTH_TECHNOLOGIES,777310,130
129,MARITIME,774635,131
130,PARTY_DEMOCRATS,770228,132
131,FATHER,768918,133
132,EXTREMISM,766518,134
133,PHARMACEUTICALS,763010,135
134,ALLIANCE,757803,136
135,VICTIMS,751948,137
136,GOVERNOR,750392,138
137,NON_STATE_SECURITY_ACTORS,748833,139
138,AMERICANS,747945,140
139,HUMAN_RESOURCES_FOR_PUBLIC_SECTOR,746046,141
140,EDUCATION_FOR_ALL,742670,142
141,JOBS_STRATEGIES,742551,143
142,COMPENSATION_CAREERS_AND_INCENTIVES,736786,144
143,PUBLIC_HEALTH,734030,145
144,PARTY_REPUBLICANS,732993,146
145,SOCIAL_DEVELOPMENT,731912,147
146,CORRUPTION,714868,148
147,FINANCIAL_INTEGRITY,707252,149
148,EDUCATION_SKILLS_DEVELOPMENT_AND_LABOR_MARKET,703940,150
149,CANDIDATE,692978,151
150,CITIZENS,687838,152
151,EMPLOYABILITY_SKILLS_AND_JOBS,687753,153
152,CHILD,684158,154
153,SOCIAL_PROTECTION_AND_LABOR,670621,155
154,GERMAN,664793,156
155,SUPPORTERS,664357,157
156,ENERGY_AND_EXTRACTIVES,660750,158
157,TITLE_OFFICER,652369,159
158,LAWYER,651762,160
159,IDEOLOGY,644723,161
160,WORKERS,642605,162
161,MIGRATION_POLICIES_AND_JOBS,640520,163
162,SCIENCE,640089,164
163,LAW_ENFORCEMENT,639139,165
164,SPOKESWOMAN,639055,166
165,HEALTHCARE,634942,167
166,AGRICULTURE_AND_FOOD_SECURITY,630332,168
167,USSECURITYAGENCIES,630200,169
168,DRUGS_AND_NARCOTICS,629695,170
169,PARTY_DEMOCRAT,625509,171
170,SOCIAL_COHESION,625463,172
171,STUDENT,622039,173
172,DISCRIMINATION,620322,174
173,TITLE_OFFICERS,619871,175
174,DIPLOMACY_AND_NEGOTIATIONS,618556,176
175,REFUGEES,617372,177
176,PROSECUTORS,616797,178
177,CHRISTIAN,611950,179
178,COLLEGE,611113,180
179,CONSTITUTIONAL,606669,181
180,AIRPORTS,596967,182
181,MAYOR,587689,183
182,TURKISH,585999,184
183,TAXATION,585825,185
184,MARITIME_INCIDENT,584510,186
185,DISPUTE_RESOLUTION,574885,187
186,PUBLIC_TRANSPORT,572880,188
187,ALTERNATIVE_DISPUTE_RESOLUTION,572155,189
188,RELIGION,558001,190
189,AGRICULTURE,557034,191
190,SECRETARY_OF_STATE,555182,192
191,GROUP_ISLAMIC_STATE,553761,193
192,BUSINESS_CLIMATE,551809,194
193,TERRORISM,546052,195
194,ICT_APPLICATIONS,537562,196
195,ENTERPRISE_APPLICATIONS,537467,197
196,MUSLIMS,535387,198
197,TAXES,533382,199
198,BUSINESS_ENVIRONMENT,533314,200
199,TROOPS,531871,201
200,JOBS_DIAGNOSTICS,528722,202
201,JAIL,528332,203
202,INSPECTIONS_LICENSING_AND_PERMITS,527939,204
203,GUN,526633,205
204,SCHOOLS,525671,206
205,SOCIAL_MEDIA,524604,207
206,NEGOTIATION,522585,208
207,EMPLOYEES,521387,209
208,SENATOR,521159,210
209,VICE_PRESIDENT,515171,211
210,CHURCH,512720,212
211,AMBASSADOR,511362,213
212,FREEDOMS,510771,214
213,VICTIM,504590,215
214,ENGLISH,494674,216
215,INJURY,493932,217
216,SANCTIONS,493362,218
217,ACT_MAKESTATEMENT,491438,219
218,APPOINTMENT,488798,220
219,RAPE,486174,221
220,LEGAL_AND_REGULATORY_FRAMEWORK,485872,222
221,ADVISER,481063,223
222,PROFESSOR,477966,224
223,KOREAN,474076,225
224,REPRESENTATIVES,468641,226
225,REBELLION,466653,227
226,WRITER,466210,228
227,AIRPORT,459655,229
228,CANDIDATES,458545,230
229,SHERIFF,457721,231
230,TOURISM,450698,232
231,TAX,445316,233
232,URBAN,445174,234
233,HIGH_SCHOOL,444589,235
234,FOREIGN_MINISTER,438381,236
235,FREEDOM_FROM_DISCRIMINATION,434006,237
236,SPEAKER,433381,238
237,CONGRESSIONAL,432477,239
238,SPENDING,431855,240
239,RESPONSEAGENCIESATCRISIS,431271,241
240,DRUG_TRADE,430231,242
241,PROSECUTOR,428967,243
242,REBELS_GUERRILLAS_AND_INSURGENTS,426972,244
243,RESIGNATION,422868,245
244,ACTIVISTS,422635,246
245,JEWISH,421583,247
246,OIL,421138,248
247,ASSISTANT,418038,249
248,LAWYERS,417578,250
249,SOLDIERS,413313,251
250,HEALTH_PROMOTION_AND_DISEASE_PREVENTION,412745,252
251,TRANSPARENCY,409638,253
252,MANAGER,405941,254
253,RUSSIANS,403753,255
254,HUMAN_RIGHTS_ABUSES_AND_VIOLATIONS,399471,256
255,GUARD,397322,257
256,POLITICIANS,395274,258
257,BUDGET,374851,259
258,TITLE_SOLDIERS,374756,260
259,DEBT,373080,261
260,CEO,370245,262
261,ARAB,367115,263
262,RURAL,366881,264
263,EXPRESSREGRET,365994,265
264,REPORTER,363805,266
265,AGENTS,362850,267
266,INFRASTRUCTURE,360774,268
267,MINING_SYSTEMS,359236,269
268,ANTI_CORRUPTION_LEGISLATION,359070,270
269,KIDNAP,357175,271
270,CANCER,354435,272
271,NOMINEE,354213,273
272,POLICE_OFFICER,353078,274
273,CANADIAN,352258,275
274,ENVIRONMENT_AND_NATURAL_RESOURCES,350439,276
275,SOCIAL_ASSISTANCE,350351,277
276,COMPETITIVE_INDUSTRIES,348150,278
277,REPRESENTATIVE,347574,279
278,KING,347557,280
279,COMMISSIONER,345579,281
280,BRIBERY_FRAUD_AND_COLLUSION,345263,282
281,ATTORNEYS,343150,283
282,DRIVER,341906,284
283,LOCALGOV,340254,285
284,EDUCATION_MANAGEMENT_AND_ADMINISTRATION,338354,286
285,TRAFFIC,335206,287
286,LABOR_MARKETS,334693,288
287,WEATHER,334322,289
288,CRIME_ILLEGAL_DRUGS,332694,290
289,SEIZE,332298,291
290,MINISTERS,329476,292
291,HEADQUARTERS,324920,293
292,SPANISH,323261,294
293,IMMIGRANTS,322798,295
294,METAL_ORE_MINING,321891,296
295,WMD,321220,297
296,RETIREMENT,318724,298
297,JAPANESE,315156,299
298,INDUSTRY_POLICY_AND_REAL_SECTORS,311573,300
299,REFORM,310835,301
300,FIRE,305584,302
301,TORTURE,304800,303
302,PORTS,304362,304
303,LGBT,302955,305
304,FOX,302229,306
305,VETERAN,301500,307
306,SUICIDE,299401,308
307,YOUTH_AND_GENDER_BASED_VIOLENCE,298302,309
308,ITALIAN,297326,310
309,AUSTRALIAN,296299,311
310,CITIZEN,295558,312
311,EDUCATIONAL_DECENTRALIZATION,293742,313
312,ROADS_AND_HIGHWAYS,291369,314
313,SENATORS,289070,315
314,HEALTH_EMERGENCIES,288125,316
315,POLITICAL_VIOLENCE_AND_CIVIL_WAR,287976,317
316,HIGHWAYS,287402,318
317,INTERNATIONAL_LAW,285847,319
318,REBELS,285617,320
319,EMPLOYEE,284254,321
320,SURVEILLANCE,283796,322
321,COMMANDER,282221,323
322,ECONOMIC_GROWTH,278684,324
323,BOMB,278580,325
324,AGENT,278564,326
325,WATER_SANITATION,277633,327
326,SCANDAL,276825,328
327,SEIGE,276089,329
328,JOURNALIST,273770,330
329,CATEGORIES_OF_EMPLOYMENT,273567,331
330,ABUSES,272817,332
331,WORKER,272300,333
332,EXECUTIVE_DIRECTOR,272023,334
333,NATURAL_RESOURCE_MANAGEMENT,269344,335
334,AGRICULTURAL_RISK_AND_SECURITY,269234,336
335,ICT_INFRASTRUCTURE,268030,337
336,POLICE_CHIEF,268001,338
337,INSURGENCY,266867,339
338,PALESTINIAN,265078,340
339,JOB_QUALITY_AND_LABOR_MARKET_PERFORMANCE,263906,341
340,NEED_OF_SHELTERS,263826,342
341,TITLE_COMMANDER,259963,343
342,EVACUATION,256916,344
343,ACTIVIST,256278,345
344,DISPLACEDRELOCATEDEVACUATED,255935,346
345,WATER_SANITATION_AND_HYGIENE,254400,347
346,IRANIAN,251977,348
347,DOCTORS,251544,349
348,TEACHER,250067,350
349,INDIAN,250035,351
350,UNEMPLOYMENT,248086,352
351,SELF_IDENTIFIED_ATROCITY,247095,353
352,AUTHOR,246424,354
353,CYBER_ATTACK,245743,355
354,TAKE_OFFICE,245430,356
355,CLIMATE_CHANGE,244025,357
356,NAVY,241999,358
357,CHRISTIANS,240552,359
358,GUNS,240433,360
359,FINANCIAL_RISK_REDUCTION,239928,361
360,INSURANCE,239638,362
361,CLIMATECHANGE,238038,363
362,MOUNTAINS,237769,364
363,CATHOLIC,234897,365
364,CONVENTIONAL_WAR,234504,366
365,GROUP_ISIS,233350,367
366,RECRUITMENT,232671,368
367,EMPLOYER,232618,369
368,GEN_HOLIDAY,232533,370
369,SPOKESPERSON,231281,371
370,CRIME_COMMON_ROBBERY,231169,372
371,FOUNDER,227801,373
372,MASSACHUSETTS,227585,374
373,GREEK,227228,375
374,CEASEFIRE,226720,376
375,RELEASE_HOSTAGE,226486,377
376,LADY,225550,378
377,RACE,224969,379
378,AIDES,224894,380
379,FOOD_AND_IN_KIND_TRANSFERS,220253,381
380,DOCTOR,219117,382
381,SHIITE,218979,383
382,STOCKMARKET,217621,384
383,RATIFY,216085,385
384,HARASSMENT,215833,386
385,SHOCKS_AND_VULNERABILITY,215797,387
386,BABY,215628,388
387,EDITOR,215254,389
388,MACROECONOMIC_VULNERABILITY_AND_DEBT,214688,390
389,HOSPITALS,212839,391
390,DICTATORSHIP,212784,392
391,ECOSYSTEMS,212243,393
392,CRACKDOWN,211110,394
393,PRESS_SECRETARY,209418,395
394,PRESIDENTS,208833,396
395,AIDE,208781,397
396,JUDGES,205801,398
397,CHANCELLOR,205436,399
398,ETH_INDIGINOUS,204480,400
399,JOB_OPPORTUNITIES_EMPLOYMENT,203528,401
400,ANALYST,200517,402
401,PALESTINIANS,200183,403
402,DISTRICT_ATTORNEY,200019,404
403,STRIKE,199859,405
404,WATER_SECURITY,199539,406
405,CHIEF_EXECUTIVE,198941,407
406,DOLLARS,196398,408
407,SUNNI,196222,409
408,VETO,196139,410
409,VETERANS,196064,411
410,LAWMAKER,195858,412
411,DIPLOMATS,195440,413
412,PRINCE,195135,414
413,CHIEF_OF_STAFF,193305,415
414,SUPPORTER,193088,416
415,IRISH,192865,417
416,ADVISERS,190651,418
417,UNCERTAINTY,190620,419
418,CLIMATE_CHANGE_ACTION,189771,420
419,DEATH_PENALTY,189356,421
420,MAJORITY_LEADER,188895,422
421,GANGS,188086,423
422,ANALYSTS,187402,424
423,OIL_AND_GAS_POLICY_STRATEGY_AND_INSTITUTIONS,187059,425
424,ASIAN,185774,426
425,REVOLUTIONARY_VIOLENCE,185475,427
426,TITLE_CHIEF_OF_STAFF,184873,428
427,PUBLIC_ACCOUNTABILITY_MECHANISMS,184284,429
428,BUSINESSMAN,183970,430
429,TURMOIL,183969,431
430,RAPE_AND_SEXUAL_VIOLENCE,183192,432
431,UKRAINIAN,181367,433
432,DISABILITY,181163,434
433,EMPLOYMENT,180731,435
434,PARTY_DEMOCRATIC_PARTY,180712,436
435,DUTCH,180195,437
436,FOOD_DISTRIBUTION,178567,438
437,DEMONSTRATORS,178246,439
438,ISLAM,177811,440
439,INNOVATION,175910,441
440,ELDERLY,175205,442
441,HOUSING_PRICES,173254,443
442,CHECKPOINT,172894,444
443,ENVOY,171741,445
444,TRADE_POLICY,171675,446
445,DIPLOMAT,171617,447
446,IMMIGRANT,171168,448
447,PUBLIC_INTERNATIONAL_LAW,170797,449
448,PRINCIPAL,169718,450
449,VIOLENT,169343,451
450,TREATIES,168292,452
451,MANUFACTURING,167545,453
452,SELF_IDENTIFIED_HUMANITARIAN_CRISIS,166865,454
453,PUBLIC_FINANCE,166561,455
454,NETWORK_MANAGEMENT,165872,456
455,SOLDIER,165690,457
456,COUNTER_TERRORISM,165305,458
457,TELECOMMUNICATIONS_AND_BROADBAND_ACCESS,165090,459
458,RETALIATE,164883,460
459,VOLUNTEERS,164537,461
460,ACTIVE_LABOR_MARKET_POLICIES,163783,462
461,FORESTS,161931,463
462,FISCAL_POLICY,161104,464
463,SOVEREIGNTY,160941,465
464,SUPPLIES,160808,466
465,DOG,160114,467
466,SUPERINTENDENT,159937,468
467,WAGES,159338,469
468,CONGRESSMAN,159004,470
469,BLOCKADE,157206,471
470,PARTY_REPUBLICAN_PARTY,157126,472
471,PPP_IN_OIL_AND_GAS,156675,473
472,DISPLACED,156518,474
473,BEAR,156340,475
474,FARMERS,155403,476
475,MENTAL_HEALTH,154524,477
476,ALABAMA,154279,478
477,ACTOR,154223,479
478,EDUCATION_DISTRICTS,154066,480
479,PILOT,153202,481
480,POPE,152840,482
481,CRIMINALS,152452,483
482,ENTITLEMENT_PROGRAMS,152226,484
483,SLAVERY,152068,485
484,LATIN,150163,486
485,GOLD,149796,487
486,VOLUNTEER,149770,488
487,ETHICS_AND_CODES_OF_CONDUCT,148855,489
488,MILITIA,148775,490
489,RACE_RACIST,148367,491
490,POLITICIAN,148141,492
491,TRADE_POLICY_AND_INTEGRATION,147380,493
492,SUICIDE_ATTACK,146912,494
493,HEALTH_EMERGENCY_PREPAREDNESS_AND_DISASTER_RESPONSE,146503,495
494,PANDEMICS,146503,495
495,SMUGGLING,146359,497
496,TITLE_SOLDIER,145774,498
497,ICT_SECURITY,145697,499
498,UNIONS,145465,500
499,PROPAGANDA,143540,501
500,BOMBS,143496,502
501,LOCAL_GOVERNMENT,142868,503
502,CRITIC,142538,504
503,TREASURY,142313,505
504,LEGISLATORS,141773,506
505,EMERGENCY_MEDICAL_SERVICES,139906,507
506,EXECUTIVES,139747,508
507,GENDER,139630,509
508,SHORTAGE,139496,510
509,SEPARATISTS,139406,511
510,BOSS,139370,512
511,SUBSIDIES,139309,513
512,ENTREPRENEURSHIP,138065,514
513,KILLER,137458,515
514,TOURISTS,137449,516
515,ADMINISTRATOR,136628,517
516,ICE,136412,518
517,KANSAS,136287,519
518,DETECTIVES,135925,520
519,UNIVERSITIES,135072,521
520,JIHAD,134814,522
521,COMMUNIST,134772,523
522,HEALTH_ECONOMICS_AND_FINANCE,134539,524
523,TITLE_SUPERINTENDENT,133600,525
524,HEALTH_INSURANCE,133019,526
525,HURRICANE,132255,527
526,POST_CONFLICT_RECONSTRUCTION,131963,528
527,PIPELINES,131254,529
528,URBAN_DEVELOPMENT,131248,530
529,OREGON,131183,531
530,TRANSPORT_AND_LOGISTICS_SERVICES,129946,532
531,GOVERNORS,129865,533
532,POPULATION_RESETTLEMENT,129749,534
533,PREVENTION,129672,535
534,WAREHOUSING_AND_STORAGE,128485,536
535,CORRESPONDENT,128473,537
536,MOSQUE,128148,538
537,HEALTH_OF_THE_DISABLED,127825,539
538,FIREARMS,127525,540
539,MINING,127486,541
540,COOK,125984,542
541,HERO,125445,543
542,DISEASE,125159,544
543,MINORITY_LEADER,124843,545
544,MODES_OF_TRANSPORT,124833,546
545,FREETRADEAGREEMENTS,124415,547
546,DRIVERS,124377,548
547,PRODUCER,124132,549
548,TOURIST,123698,550
549,SOVIET,123449,551
550,DETERMINANTS_OF_GROWTH,123045,552
551,BORDER_SECURITY,122996,553
552,GUIDE,122641,554
553,MEDICAL_CENTER,121901,555
554,SERVICESNEEDEDOFFERED,121486,556
555,BISHOP,121192,557
556,INFO_RUMOR,121155,558
557,AIR_TRANSPORT,120340,559
558,ORGANIZERS,120314,560
559,FREESPEECH,119907,561
560,QUEEN,118672,562
561,AFGHAN,118589,563
562,CLOSURE,118393,564
563,FIREARM,118284,565
564,SPECIAL_ISSUES,118093,566
565,CHIEFS,117705,567
566,PASTOR,117596,568
567,FLOODING,117381,569
568,TRADE_POLICY_AND_INVESTMENT_AGREEMENTS,117283,570
569,INDIGENOUS,116594,571
570,PERSECUTION,116360,572
571,FOOD_SECURITY,116360,572
572,COORDINATOR,116357,574
573,INSPECTOR,114989,575
574,DETECTIVE,114726,576
575,CATHOLICS,114710,577
576,JEWS,114474,578
577,SPY,114448,579
578,CONSULTANT,114323,580
579,RULE_OF_LAW,114053,581
580,GENDER_VIOLENCE,113709,582
581,EXPLOSIVES,113263,583
582,ACTRESS,112874,584
583,CZECH,112795,585
584,RESPONSES_TO_HUMAN_RIGHTS_ABUSES,112659,586
585,FLOOD,112552,587
586,CLAIM_CREDIT,111805,588
587,RACE_RACISM,111103,589
588,CAPTAIN,111094,590
589,WALKER,111089,591
590,DOLLAR,110983,592
591,HEALTH_SERVICES_DELIVERY,110920,593
592,WHISTLEBLOWER,110756,594
593,ARTIST,110537,595
594,NUTRITION,110097,596
595,FREETRADE,109157,597
596,MARITIME_PIRACY,109078,598
597,FIREARM_OWNERSHIP,107941,599
598,CIVIL_LIBERTIES,106850,600
599,REGULATORS,106791,601
600,WATER_SUPPLY_AND_SANITATION,106740,602
601,WOUNDS,106739,603
602,DIRECTORS,106635,604
603,SOFTWARE_INFRASTRUCTURE,106251,605
604,ABUSES_TORTURE,105471,606
605,RAILWAYS,105384,607
606,INDONESIAN,105360,608
607,ENGINEER,105352,609
608,REGULATORY,105277,610
609,SOCIAL_DETERMINANTS_FOR_HEALTH,105091,611
610,DOGS,104874,612
611,ALCOHOL_AND_SUBSTANCE_ABUSE,104496,613
612,SOCIAL_INCLUSION,104022,614
613,SPECIALIST,103663,615
614,DRONES,103367,616
615,COAL,102812,617
616,KOREANS,102744,618
617,CASH_TRANSFERS,102648,619
618,GROUP_TALIBAN,102635,620
619,PEACE_PROCESSES_AND_DIALOGUE,102438,621
620,STAFFERS,102380,622
621,ACCESS_AND_CONNECTIVITY,101934,623
622,CAPITAL_MARKETS,101735,624
623,TITLE_CAPTAIN,101636,625
624,SANITATION,101147,626
625,INCUMBENT,100644,627
626,REFUGEE_RESETTLEMENT,100592,628
627,RECONCILIATION,100409,629
628,ECOSYSTEM_MANAGEMENT,100379,630
629,ECONOMIC_DEVELOPMENT,99677,631
630,LEGALIZE,99364,632
631,SATELLITES,99223,633
632,LIEUTENANT,99143,634
633,BULLYING,98677,635
634,MEDIA_CENSORSHIP,98307,636
635,AID_HUMANITARIAN,97560,637
636,PROTECTED_AREAS_SYSTEMS,97134,638
637,BOYCOTT,96830,639
638,ARABIC,96746,640
639,FEE_WAIVERS,96661,641
640,FISH,96551,642
641,RESEARCHER,96128,643
642,MACROECONOMIC_AND_STRUCTURAL_POLICIES,95784,644
643,GENDER_EQUALITY,94698,645
644,INTERIOR_MINISTER,94698,645
645,GROUP_HEZBOLLAH,94337,647
646,STORAGE_MANAGEMENT,93943,648
647,PARTY_HEZBOLLAH,93888,649
648,SERVERS,93535,650
649,EMPLOYERS,93518,651
650,NURSE,93509,652
651,ENGINEERS,93133,653
652,TRAFFICKING,93010,654
653,LEVELS_OF_EDUCATION,92430,655
654,CHURCHES,92423,656
655,INVESTIGATOR,92252,657
656,DATABASE,91818,658
657,COMMODITIES_AND_RESOURCES,91028,659
658,LABOR_STANDARDS,90653,660
659,POLICE_STATION,90392,661
660,OPERATOR,90075,662
661,EXILE,89001,663
662,OILPRICE,88840,664
663,FACULTY,88831,665
664,TITLE_LIEUTENANT,88480,666
665,CANADIANS,88358,667
666,CLIMATE_SMART_AGRICULTURE,88183,668
667,ECONOMIC_DEVELOPMENTAID,88071,669
668,PROPERTY_LAWS_AND_REGULATIONS,87392,670
669,HEALTH_MANAGEMENT_AND_ADMINISTRATION,87369,671
670,INTEGRATION,86764,672
671,SILVER,85952,673
672,PARTY_HAMAS,85773,674
673,CRIME,85746,675
674,GROUP_HAMAS,85734,676
675,PASSIVE_LABOR_MARKETS_POLICIES,85631,677
676,SOMALI,85517,678
677,INNOVATION_TECHNOLOGY_AND_ENTREPRENEURSHIP,85196,679
678,WATER_RESOURCES_MANAGEMENT,85146,680
679,NON_BANK_FINANCIAL_INSTITUTIONS,85092,681
680,INSURGENTS,85018,682
681,COMMANDERS,84863,683
682,PRISONS,84831,684
683,VIETNAMESE,84771,685
684,RICE,84470,686
685,GERMANS,84166,687
686,RESOURCES,83778,688
687,INSIDER,83592,689
688,REFUGEECAMP,83420,690
689,CLERK,83376,691
690,STATE_OF_EMERGENCY,83364,692
691,SCIENTIST,83283,693
692,WATERWAYS,83234,694
693,SCHOLARSHIPS,83209,695
694,INVESTOR,82489,696
695,REPRODUCTIVE_MATERNAL_AND_CHILD_HEALTH,82385,697
696,NATURALGAS,82222,698
697,PRIEST,81973,699
698,INDIGENOUS_PEOPLES,81288,700
699,DOMESTIC_VIOLENCE,81103,701
700,VANDALIZE,80951,702
701,WAR_CRIMES,80900,703
702,ACT_FORCEPOSTURE,80786,704
703,CLEAN_WATER_SANITATION,80725,705
704,COLLEGES,80700,706
705,RENEWABLE_ENERGY,80507,707
706,DICTATOR,80345,708
707,ETHNIC_RELIGIOUS_AND_OTHER_MINORITIES,80102,709
708,IMPEACHMENT,79923,710
709,POVERTY_MEASUREMENT_AND_ANALYSIS,79405,711
710,FARMER,79370,712
711,CONTRACTOR,79288,713
712,FLOODED,78946,714
713,PHOTOGRAPHER,78923,715
714,ECONOMIC_AND_SOCIAL_MOBILITY,78881,716
715,SECRETARY_GENERAL,78345,717
716,NATIONAL_PARKS,78290,718
717,BAPTIST,78118,719
718,RED_CROSS,78048,720
719,IRON,78041,721
720,PERSIAN,77703,722
721,MAGISTRATE,77686,723
722,GENERAL_PUBLIC_OPINION,77161,724
723,PUBLIC_HEALTH_INSURANCE,77067,725
724,MANAGERS,76978,726
725,MIDDLE_CLASS,76723,727
726,SIOUX,76339,728
727,HUNGARIAN,76223,729
728,ELECTED_OFFICIALS,75836,730
729,BABIES,75751,731
730,DEFICIT,75480,732
731,FIRM_INNOVATION_PRODUCTIVITY_AND_GROWTH,75307,733
732,NOMINEES,75265,734
733,DEMOGRAPHIC_CHANGE,75254,735
734,SPECIAL_ISSUES_OBAMACARE,75080,736
735,FINANCE_MINISTER,74876,737
736,SWITCHES,74666,738
737,WATER_MANAGEMENT_STRUCTURES,74605,739
738,SEAL,74602,740
739,ACCESS_TO_JUSTICE,74322,741
740,SPECIAL_ISSUES_AFFORDABLE_CARE_ACT,73969,742
741,CHAMPION,73918,743
742,EXAMINER,72887,744
743,IRANIANS,72402,745
744,TRAUMA,72140,746
745,EVIDENCE_BASED_POLICY,72111,747
746,SUPERVISOR,72110,748
747,BEARS,71933,749
748,COLUMNIST,71909,750
749,ARTISTS,71849,751
750,ADMINISTRATORS,71494,752
751,GRIEVANCES,71414,753
752,CHILDREN_AND_EDUCATION,70942,754
753,FINANCIAL_ARCHITECTURE_AND_BANKING,70745,755
754,STAFF_MEMBERS,70356,756
755,FEDERAL_OFFICIALS,70062,757
756,PREFERENTIAL_TRADE_AND_INVESTMENT_AGREEMENTS,69842,758
757,DEVELOPER,69678,759
758,ELDER,69617,760
759,PARDON,69539,761
760,INTELLECTUAL_PROPERTY_RIGHTS,69313,762
761,AUTHENTICATION_AND_AUTHORIZATION,69265,763
762,HUNTER,69124,764
763,TEAR_GAS,68987,765
764,ARCHBISHOP,68826,766
765,FOREIGN_MINISTERS,68587,767
766,FORESTRY,68277,768
767,CORONER,67965,769
768,CROWN_PRINCE,67483,770
769,OUTBREAK,67121,771
770,MIDDLE_SCHOOL,66768,772
